"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/1990","1.590","1.575","1.620","1.540","1.10K","1.60%"
"06/01/1990","1.519","1.587","1.590","1.495","2.62K","-4.47%"
"07/01/1990","1.411","1.525","1.525","1.410","1.95K","-7.11%"
"08/01/1990","1.500","1.405","1.600","1.396","3.18K","6.31%"
"09/01/1990","1.935","1.515","1.980","1.501","2.89K","29.00%"
"10/01/1990","2.360","1.925","2.570","1.830","3.53K","21.96%"
"11/01/1990","2.445","2.360","2.650","2.290","6.07K","3.60%"
"12/01/1990","1.950","2.460","2.510","1.870","6.67K","-20.25%"
"01/01/1991","1.380","1.920","1.920","1.335","7.01K","-29.23%"
"02/01/1991","1.373","1.380","1.435","1.330","4.54K","-0.51%"
"03/01/1991","1.405","1.370","1.410","1.347","3.85K","2.33%"
"04/01/1991","1.375","1.405","1.425","1.342","4.19K","-2.14%"
"05/01/1991","1.333","1.378","1.383","1.310","3.83K","-3.05%"
"06/01/1991","1.208","1.335","1.336","1.060","7.25K","-9.38%"
"07/01/1991","1.260","1.190","1.280","1.145","5.40K","4.30%"
"08/01/1991","1.564","1.275","1.604","1.255","7.47K","24.13%"
"09/01/1991","1.935","1.556","1.995","1.550","8.33K","23.72%"
"10/01/1991","2.046","1.930","2.125","1.851","11.19K","5.74%"
"11/01/1991","2.090","2.052","2.140","1.870","13.62K","2.15%"
"12/01/1991","1.343","2.075","2.112","1.340","18.11K","-35.74%"
"01/01/1992","1.180","1.310","1.365","1.040","20.44K","-12.14%"
"02/01/1992","1.171","1.160","1.275","1.045","11.70K","-0.76%"
"03/01/1992","1.357","1.160","1.380","1.155","17.92K","15.88%"
"04/01/1992","1.422","1.370","1.580","1.255","23.94K","4.79%"
"05/01/1992","1.625","1.405","1.790","1.396","33.22K","14.28%"
"06/01/1992","1.518","1.625","1.670","1.461","32.85K","-6.58%"
"07/01/1992","1.892","1.530","1.940","1.525","49.13K","24.64%"
"08/01/1992","2.112","1.887","2.180","1.745","70.77K","11.63%"
"09/01/1992","2.515","2.070","2.790","2.005","79.11K","19.08%"
"10/01/1992","2.295","2.495","2.630","2.145","110.80K","-8.75%"
